thickness,k,n_trees,min_node_size,max_depth,beta,fold,auc,auc_avg,auc_std
50,5,600,0.5%,2,0.6,3,0.9715723395347595,0.9679611325263977,0.003676298540085554
50,5,600,0.5%,2,0.6,4,0.9620647430419922,0.9679611325263977,0.003676298540085554
50,5,600,0.5%,2,0.7,0,0.9703124165534973,0.970104992389679,0.0028277758974581957
50,5,600,0.5%,2,0.7,1,0.9689626097679138,0.970104992389679,0.0028277758974581957
50,5,600,0.5%,2,0.7,2,0.9726188778877258,0.970104992389679,0.0028277758974581957
50,5,600,0.5%,2,0.7,3,0.9727120399475098,0.970104992389679,0.0028277758974581957
50,5,600,0.5%,2,0.7,4,0.9659191966056824,0.970104992389679,0.0028277758974581957
50,5,600,0.5%,2,0.8,0,0.9719483256340027,0.9711947441101074,0.0025099923368543386
50,5,600,0.5%,2,0.8,1,0.9690257906913757,0.9711947441101074,0.0025099923368543386
50,5,600,0.5%,2,0.8,2,0.9725651741027832,0.9711947441101074,0.0025099923368543386
50,5,600,0.5%,2,0.8,3,0.9742212295532227,0.9711947441101074,0.0025099923368543386
50,5,600,0.5%,2,0.8,4,0.9682130813598633,0.9711947441101074,0.0025099923368543386
50,5,600,0.5%,2,0.9,0,0.9738697409629822,0.9723528027534485,0.0021638083271682262
50,5,600,0.5%,2,0.9,1,0.9703138470649719,0.9723528027534485,0.0021638083271682262
50,5,600,0.5%,2,0.9,2,0.9727646708488464,0.9723528027534485,0.0021638083271682262
50,5,600,0.5%,2,0.9,3,0.9748668670654297,0.9723528027534485,0.0021638083271682262
50,5,600,0.5%,2,0.9,4,0.9699487090110779,0.9723528027534485,0.0021638083271682262
50,5,800,0.5%,2,0.1,0,0.9541149139404297,0.9523859024047852,0.0022701488342136145
50,5,800,0.5%,2,0.1,1,0.9497698545455933,0.9523859024047852,0.0022701488342136145
50,5,800,0.5%,2,0.1,2,0.952287495136261,0.9523859024047852,0.0022701488342136145
50,5,800,0.5%,2,0.1,3,0.955146312713623,0.9523859024047852,0.0022701488342136145
50,5,800,0.5%,2,0.1,4,0.9506106376647949,0.9523859024047852,0.0022701488342136145
