thickness_mu,n_trees,min_node_size,split,beta,max_depth,train_auc,eval_auc,run_dir,log_path
50,800,3.0,50_50,_5,12,0.991,0.97,results/800-3-50_50-_5-12,results/800-3-50_50-_5-12/50_evaluation.log
75,800,3.0,50_50,_5,12,0.993,0.98,results/800-3-50_50-_5-12,results/800-3-50_50-_5-12/75_evaluation.log
100,800,3.0,50_50,_5,2,0.977,0.978,results/800-3-50_50-_5-2,results/800-3-50_50-_5-2/100_evaluation.log
200,800,3.0,50_50,_5,2,0.968,0.967,results/800-3-50_50-_5-2,results/800-3-50_50-_5-2/200_evaluation.log
400,800,3.0,50_50,_5,2,0.956,0.95,results/800-3-50_50-_5-2,results/800-3-50_50-_5-2/400_evaluation.log
50,800,3.0,50_50,_5,2,0.977,0.966,results/800-3-50_50-_5-2,results/800-3-50_50-_5-2/50_evaluation.log
75,800,3.0,50_50,_5,2,0.978,0.974,results/800-3-50_50-_5-2,results/800-3-50_50-_5-2/75_evaluation.log
100,800,3.0,50_50,_5,3,0.988,0.983,results/800-3-50_50-_5-3,results/800-3-50_50-_5-3/100_evaluation.log
200,800,3.0,50_50,_5,3,0.987,0.982,results/800-3-50_50-_5-3,results/800-3-50_50-_5-3/200_evaluation.log
400,800,3.0,50_50,_5,3,0.979,0.961,results/800-3-50_50-_5-3,results/800-3-50_50-_5-3/400_evaluation.log
50,800,3.0,50_50,_5,3,0.984,0.97,results/800-3-50_50-_5-3,results/800-3-50_50-_5-3/50_evaluation.log
75,800,3.0,50_50,_5,3,0.986,0.976,results/800-3-50_50-_5-3,results/800-3-50_50-_5-3/75_evaluation.log
100,800,3.0,50_50,_5,4,0.99,0.983,results/800-3-50_50-_5-4,results/800-3-50_50-_5-4/100_evaluation.log
200,800,3.0,50_50,_5,4,0.992,0.986,results/800-3-50_50-_5-4,results/800-3-50_50-_5-4/200_evaluation.log
400,800,3.0,50_50,_5,4,0.986,0.965,results/800-3-50_50-_5-4,results/800-3-50_50-_5-4/400_evaluation.log
50,800,3.0,50_50,_5,4,0.988,0.97,results/800-3-50_50-_5-4,results/800-3-50_50-_5-4/50_evaluation.log
75,800,3.0,50_50,_5,4,0.991,0.978,results/800-3-50_50-_5-4,results/800-3-50_50-_5-4/75_evaluation.log
100,800,3.0,50_50,_5,5,0.992,0.984,results/800-3-50_50-_5-5,results/800-3-50_50-_5-5/100_evaluation.log
200,800,3.0,50_50,_5,5,0.993,0.987,results/800-3-50_50-_5-5,results/800-3-50_50-_5-5/200_evaluation.log
400,800,3.0,50_50,_5,5,0.989,0.967,results/800-3-50_50-_5-5,results/800-3-50_50-_5-5/400_evaluation.log
50,800,3.0,50_50,_5,5,0.99,0.97,results/800-3-50_50-_5-5,results/800-3-50_50-_5-5/50_evaluation.log
75,800,3.0,50_50,_5,5,0.992,0.98,results/800-3-50_50-_5-5,results/800-3-50_50-_5-5/75_evaluation.log
100,800,3.0,50_50,_5,6,0.992,0.984,results/800-3-50_50-_5-6,results/800-3-50_50-_5-6/100_evaluation.log
200,800,3.0,50_50,_5,6,0.994,0.988,results/800-3-50_50-_5-6,results/800-3-50_50-_5-6/200_evaluation.log
400,800,3.0,50_50,_5,6,0.989,0.969,results/800-3-50_50-_5-6,results/800-3-50_50-_5-6/400_evaluation.log
50,800,3.0,50_50,_5,6,0.99,0.971,results/800-3-50_50-_5-6,results/800-3-50_50-_5-6/50_evaluation.log
75,800,3.0,50_50,_5,6,0.992,0.979,results/800-3-50_50-_5-6,results/800-3-50_50-_5-6/75_evaluation.log
100,800,3.0,50_50,_5,7,0.992,0.984,results/800-3-50_50-_5-7,results/800-3-50_50-_5-7/100_evaluation.log
200,800,3.0,50_50,_5,7,0.994,0.988,results/800-3-50_50-_5-7,results/800-3-50_50-_5-7/200_evaluation.log
400,800,3.0,50_50,_5,7,0.991,0.971,results/800-3-50_50-_5-7,results/800-3-50_50-_5-7/400_evaluation.log
50,800,3.0,50_50,_5,7,0.99,0.97,results/800-3-50_50-_5-7,results/800-3-50_50-_5-7/50_evaluation.log
75,800,3.0,50_50,_5,7,0.992,0.98,results/800-3-50_50-_5-7,results/800-3-50_50-_5-7/75_evaluation.log
100,800,3.0,50_50,_5,8,0.993,0.985,results/800-3-50_50-_5-8,results/800-3-50_50-_5-8/100_evaluation.log
200,800,3.0,50_50,_5,8,0.994,0.988,results/800-3-50_50-_5-8,results/800-3-50_50-_5-8/200_evaluation.log
400,800,3.0,50_50,_5,8,0.99,0.971,results/800-3-50_50-_5-8,results/800-3-50_50-_5-8/400_evaluation.log
50,800,3.0,50_50,_5,8,0.991,0.971,results/800-3-50_50-_5-8,results/800-3-50_50-_5-8/50_evaluation.log
75,800,3.0,50_50,_5,8,0.993,0.98,results/800-3-50_50-_5-8,results/800-3-50_50-_5-8/75_evaluation.log
100,800,3.0,50_50,_5,9,0.993,0.985,results/800-3-50_50-_5-9,results/800-3-50_50-_5-9/100_evaluation.log
200,800,3.0,50_50,_5,9,0.994,0.988,results/800-3-50_50-_5-9,results/800-3-50_50-_5-9/200_evaluation.log
400,800,3.0,50_50,_5,9,0.991,0.971,results/800-3-50_50-_5-9,results/800-3-50_50-_5-9/400_evaluation.log
50,800,3.0,50_50,_5,9,0.991,0.97,results/800-3-50_50-_5-9,results/800-3-50_50-_5-9/50_evaluation.log
75,800,3.0,50_50,_5,9,0.993,0.98,results/800-3-50_50-_5-9,results/800-3-50_50-_5-9/75_evaluation.log
100,800,3.5,50_50,_5,3,0.987,0.982,results/800-3_5-50_50-_5-3,results/800-3_5-50_50-_5-3/100_evaluation.log
200,800,3.5,50_50,_5,3,0.986,0.98,results/800-3_5-50_50-_5-3,results/800-3_5-50_50-_5-3/200_evaluation.log
400,800,3.5,50_50,_5,3,0.979,0.961,results/800-3_5-50_50-_5-3,results/800-3_5-50_50-_5-3/400_evaluation.log
50,800,3.5,50_50,_5,3,0.984,0.968,results/800-3_5-50_50-_5-3,results/800-3_5-50_50-_5-3/50_evaluation.log
75,800,3.5,50_50,_5,3,0.986,0.975,results/800-3_5-50_50-_5-3,results/800-3_5-50_50-_5-3/75_evaluation.log
100,800,4.0,50_50,_5,3,0.986,0.98,results/800-4-50_50-_5-3,results/800-4-50_50-_5-3/100_evaluation.log
200,800,4.0,50_50,_5,3,0.986,0.981,results/800-4-50_50-_5-3,results/800-4-50_50-_5-3/200_evaluation.log
400,800,4.0,50_50,_5,3,0.977,0.959,results/800-4-50_50-_5-3,results/800-4-50_50-_5-3/400_evaluation.log
50,800,4.0,50_50,_5,3,0.984,0.968,results/800-4-50_50-_5-3,results/800-4-50_50-_5-3/50_evaluation.log
75,800,4.0,50_50,_5,3,0.986,0.976,results/800-4-50_50-_5-3,results/800-4-50_50-_5-3/75_evaluation.log
100,800,4.5,50_50,_5,3,0.987,0.982,results/800-4_5-50_50-_5-3,results/800-4_5-50_50-_5-3/100_evaluation.log
200,800,4.5,50_50,_5,3,0.985,0.979,results/800-4_5-50_50-_5-3,results/800-4_5-50_50-_5-3/200_evaluation.log
400,800,4.5,50_50,_5,3,0.976,0.96,results/800-4_5-50_50-_5-3,results/800-4_5-50_50-_5-3/400_evaluation.log
50,800,4.5,50_50,_5,3,0.984,0.968,results/800-4_5-50_50-_5-3,results/800-4_5-50_50-_5-3/50_evaluation.log
75,800,4.5,50_50,_5,3,0.986,0.975,results/800-4_5-50_50-_5-3,results/800-4_5-50_50-_5-3/75_evaluation.log
100,800,5.0,50_50,_5,3,0.985,0.979,results/800-5-50_50-_5-3,results/800-5-50_50-_5-3/100_evaluation.log
200,800,5.0,50_50,_5,3,0.984,0.978,results/800-5-50_50-_5-3,results/800-5-50_50-_5-3/200_evaluation.log
400,800,5.0,50_50,_5,3,0.974,0.955,results/800-5-50_50-_5-3,results/800-5-50_50-_5-3/400_evaluation.log
50,800,5.0,50_50,_5,3,0.983,0.967,results/800-5-50_50-_5-3,results/800-5-50_50-_5-3/50_evaluation.log
75,800,5.0,50_50,_5,3,0.986,0.975,results/800-5-50_50-_5-3,results/800-5-50_50-_5-3/75_evaluation.log
100,800,5.5,50_50,_5,3,0.986,0.981,results/800-5_5-50_50-_5-3,results/800-5_5-50_50-_5-3/100_evaluation.log
200,800,5.5,50_50,_5,3,0.984,0.977,results/800-5_5-50_50-_5-3,results/800-5_5-50_50-_5-3/200_evaluation.log
400,800,5.5,50_50,_5,3,0.969,0.951,results/800-5_5-50_50-_5-3,results/800-5_5-50_50-_5-3/400_evaluation.log
50,800,5.5,50_50,_5,3,0.983,0.967,results/800-5_5-50_50-_5-3,results/800-5_5-50_50-_5-3/50_evaluation.log
75,800,5.5,50_50,_5,3,0.985,0.975,results/800-5_5-50_50-_5-3,results/800-5_5-50_50-_5-3/75_evaluation.log
100,800,6.0,50_50,_5,3,0.986,0.98,results/800-6-50_50-_5-3,results/800-6-50_50-_5-3/100_evaluation.log
200,800,6.0,50_50,_5,3,0.982,0.976,results/800-6-50_50-_5-3,results/800-6-50_50-_5-3/200_evaluation.log
400,800,6.0,50_50,_5,3,0.969,0.952,results/800-6-50_50-_5-3,results/800-6-50_50-_5-3/400_evaluation.log
50,800,6.0,50_50,_5,3,0.983,0.967,results/800-6-50_50-_5-3,results/800-6-50_50-_5-3/50_evaluation.log
75,800,6.0,50_50,_5,3,0.985,0.974,results/800-6-50_50-_5-3,results/800-6-50_50-_5-3/75_evaluation.log
100,800,6.5,50_50,_5,3,0.985,0.979,results/800-6_5-50_50-_5-3,results/800-6_5-50_50-_5-3/100_evaluation.log
200,800,6.5,50_50,_5,3,0.981,0.975,results/800-6_5-50_50-_5-3,results/800-6_5-50_50-_5-3/200_evaluation.log
400,800,6.5,50_50,_5,3,0.97,0.951,results/800-6_5-50_50-_5-3,results/800-6_5-50_50-_5-3/400_evaluation.log
50,800,6.5,50_50,_5,3,0.983,0.968,results/800-6_5-50_50-_5-3,results/800-6_5-50_50-_5-3/50_evaluation.log
75,800,6.5,50_50,_5,3,0.985,0.974,results/800-6_5-50_50-_5-3,results/800-6_5-50_50-_5-3/75_evaluation.log
